Country/Region,Province/State,Population,Lat,Long,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20
Georgia,US,10912876,30.438118,-84.281296,27,27,27,27,27,27,27,27,27,27,27,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,31,31,31,31,33,33,33,33,33,33,33,33,33
Hawaii,US,1440196,33.749027,-84.388229,1019,1021,1027,1028,1030,1031,1036,1037,1038,1039,1040,1040,1040,1041,1041,1038,1039,1044,1045,1045,1045,1046,1046,1048,1047,1046,1049,1049,1050,1050,1051,1051,1051,1051,1051,1051,1051,1051,1052,1052,1053,1053,1053,1053,1053,1053,1054,1054,1054,1054,1054,1054,1054,1054,1054,1055,1055,1055,1055,1056,1057,1057,1058,1058,1058,1058,1058,1058,1058,1059,1060,1061,1061,1062,1063,1063,1063,1063,1063,1063,1063,1065,1066,1066,1066,1067,1067,1069,1069,1069,1071,1071,1072,1075,1076,1076,1076,1079,1079,1079,1079,1079,1081,1082,1082,1082,1082
Idaho,US,1939033,43.617775,-116.199722,433,434,434,434,434,434,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,437,439,439,439,439,439,439,439,440,440,440,440,440,440,441,441,441,441,441,441,441,441,441,443,443,443,443,443,444,445,445,446,447,447,447,449,449,449,449,450,450,451,452,452,452,452,456
Illinois,US,12582032,39.798363,-89.654961,182,182,182,184,184,188,191,192,194,195,195,196,198,199,199,200,202,203,203,203,205,206,207,207,208,208,208,208,209,209,209,209,209,212,213,213,213,213,213,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216
Indiana,US,6833037,39.768623,-86.162643,1336,1346,1360,1385,1385,1407,1417,1417,1439,1454,1454,1473,1479,1479,1498,1520,1533,1533,1544,1544,1553,1557,1560,1563,1569,1569,1586,1586,1593,1595,1602,1616,1621,1632,1632,1657,1661,1664,1664,1678,1678,1680,1694,1701,1712,1721,1721,1742,1742,1775,1789,1816,1816,1866,1904,1904,1971,1992,2028,2058,2142,2142,2286,2289,2329,2395,2488,2591,2669,2709,2819,2933,2933,3078,3298,3298,3450,3529,3680,3817,4123,4123,4259,4479,4696,5111,5111,5283,5424,5628,6066,6378,6378,6642,6889,7271,7493,8121,8121,8570,9023,9413,9729,12334,12940,13239,13708
Iowa,US,3200517,41.591087,-93.603729,536,536,536,537,538,538,538,541,543,545,545,545,545,545,549,549,549,549,549,550,551,552,552,553,553,557,557,557,559,559,560,560,571,575,575,582,591,591,592,592,592,592,593,593,594,594,595,595,595,595,595,598,598,598,598,598,600,600,600,602,602,602,604,604,606,606,606,610,610,617,618,622,625,625,626,631,642,644,647,647,647,647,650,650,652,654,654,654,654,627,628,629,629,630,632,632,632,632,633,633,633,633,633,633,633,634,634
Kansas,US,2937150,39.048191,-95.677956,13928,13991,14061,14148,14304,14405,14471,14524,14563,14614,14678,14882,14951,15005,15037,15063,15138,15182,15228,15286,15347,15520,15593,15596,15629,15672,15717,15742,15789,15793,15839,15875,15910,15949,15985,16012,16059,16066,16089,16099,16101,16141,16175,16197,16241,16261,16282,16320,16348,16371,16401,16420,16478,16491,16514,16558,16607,16615,16647,16686,16721,16758,16808,16864,16952,17000,17073,17175,17244,17335,17501,17599,17659,17716,17849,17943,18042,18124,18209,18246,18379,18528,18628,18758,18911,18984,19063,19336,19464,19596,19690,19812,19923,20010,20123,20268,20346,20499,20627,20681,20765,20870,20958,21093,21260,21406,21558
Kentucky,US,4512310,38.186722,-84.875374,1620,1650,1680,1680,1789,1833,1886,1944,2015,2055,2198,2253,2340,2399,2506,2607,2741,2819,2897,3022,3125,3327,3428,3508,3564,3665,3737,3871,4024,4149,4377,4606,4720,4930,5116,5309,5583,5739,5948,6075,6192,6325,6516,6799,7168,7503,7768,8059,8364,8719,9026,9369,9715,10061,10425,10820,11291,11742,12182,12635,13100,13591,14093,14607,15093,15640,16150,16695,17256,17805,18450,18967,19490,19939,20443,20974,21547,22082,22684,23242,23873,24495,25168,25882,26474,27113,27760,28348,28840,29275,29696,30056,30364,30642,30856,31058,31269,31490,31697,31875,32042,32201,32363,32511,32682,32842,32993
Louisiana,US,4590241,30.457069,-91.187393,37,37,39,39,41,41,41,42,42,43,43,43,44,44,45,45,46,46,46,47,48,48,48,49,49,55,55,55,62,62,64,64,67,68,68,68,68,68,72,72,74,74,74,77,77,83,83,84,84,87,87,87,87,89,89,89,89,89,89,89,89,89,89,89,89,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,95,99,104,113,116,122,138,138,160,189,191,203,209,211,221,227,634
Maine,US,1385340,44.307167,-69.781693,2055,2070,2152,2192,2205,2353,2640,2762,2910,2931,2952,3568,3873,4096,4465,4587,4753,4938,5152,5419,5700,5826,6673,7070,7407,7410,7728,8585,9056,9468,10326,10606,11109,11487,11903,12191,12818,13267,13866,14185,14696,15287,15790,16419,16862,17450,17977,18501,19137,19781,20517,20928,21331,21948,22583,23318,23959,24649,25178,25570,26073,26520,27213,27828,28425,29099,29753,30320,30809,31188,31765,32372,32965,33455,33894,34412,34826,35205,35689,36110,36531,36920,37357,37840,38211,38666,39007,39335,39576,39945,40276,40549,40967,41209,41504,41836,42180,42469,42806,43128,43529,43921,44278,44628,45166,45589,45981
Maryland,US,6164660,38.978764,-76.490936,2414,2650,2902,3147,3361,3361,3882,4117,4373,4585,4993,5207,5602,6190,6486,6901,7334,7579,7925,8425,9015,9375,9781,10597,11120,11590,12161,12804,13325,13903,14560,15337,15900,16747,17249,17828,18730,18731,36264,38189,40164,42945,43993,45077,46755,47635,49666,51495,53133,54318,55727,57780,59624,62108,66442,68048,70721,72625,76149,78102,80838,84544,86406,88034,93614,98317,103227,105523,106963,108725,110098,111642,113556,115397,117202,119208,120976,122090,123882,125683,127414,130292,132960,135136,136253,136839,137905,139860,141750,143824,145584,146604,148370,150437,151972,153089,154871,156623,157635,158950,160591,162825,165738,168991,172615,175567,179091
Massachusetts,US,6981974,42.358162,-71.063698,57,57,57,57,65,65,65,67,68,68,68,70,70,70,70,70,71,71,76,76,76,76,76,76,76,81,81,81,81,81,81,81,83,83,83,83,83,83,83,85,85,85,85,85,85,85,85,85,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,91,91,91,91,91,94,94,94,94,94,94,94,95,96,96,98,98,98,98,100,100,100,108,112,112,112,115,118,119,121,122,122,122,123,123,124,126,132
Michigan,US,10034113,42.733635,-84.555328,6050,6406,6531,6974,7711,8168,8807,9498,9932,10130,10620,11415,12057,12833,13528,14155,14449,15086,15923,16660,17390,17964,18514,18776,19195,20171,21162,22066,23015,23647,23880,24506,25667,26643,27760,29111,30103,30420,31273,32735,34023,35275,36749,37666,37923,38688,40136,41448,42689,44126,45027,45213,46054,47553,48738,49909,50669,50871,51120,51902,52854,53609,54254,54919,55380,55492,55799,56379,56915,57370,57856,58204,58290,58592,59061,59439,59755,60092,60425,60492,60669,61442,61765,62444,62686,62896,62943,63163,63425,63756,64200,64744,64935,64991,65219,65893,66178,66452,66452,67072,67149,67339,67647,67929,68256,68577,68839
Minnesota,US,5717184,44.955097,-93.102211,13411,13642,13697,13732,13937,14111,14301,14460,14630,14657,14687,14847,14988,15123,15155,15272,15297,15320,15465,15572,15682,15769,15887,15919,15934,15959,16048,16112,16190,16291,16315,16324,16392,16453,16498,16547,16589,16610,16625,16684,16724,16751,16771,16771,16771,16771,16771,16890,16918,16941,16941,16941,16984,17021,17044,17073,17091,17091,17091,17122,17138,17159,17179,17196,17196,17196,17223,17242,17253,17289,17289,17289,17321,17330,17347,17369,17394,17425,17438,17452,17476,17491,17513,17546,17573,17590,17598,17639,17661,17700,17728,17766,17780,17792,17841,17883,17913,17941,17981,17994,18003,18048,18078,18131,18165,18204,18225
Mississippi,US,2940057,32.303848,-90.182106,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,18,18,18,18,18,18,18,19,19,19,19,19,19,19,20,20,20,20,21,21,22,22,22,22,22,22,23,25,26,26,26,26,27,27,27,30,30,30,30,30,31,32,32,32,32,32,32,32,32,32,35,35,38,38,38,38,43,44,44
Missouri,US,6177957,38.579201,-92.172935,62,62,62,76,83,83,83,83,83,83,83,57,61,61,61,82,84,118,134,134,136,136,143,147,148,148,151,151,151,151,186,188,188,188,217,222,228,232,236,237,238,247,247,253,253,272,277,288,292,295,306,323,333,333,333,333,333,333,333,333,333,333,333,557,557,557,557,557,557,782,782,782,782,782,782,918,918,918,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1600,1600,1600,1600,1600,1600,1681,1681,1681,1681,1690,1690,1690,1690,1690,1705,1705,1705,1705
Montana,US,1122867,46.585709,-112.018417,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,9,9,9,11,11,11,14,17,18,19,19,21,21,22,24,24,25,28,30,30,32,34,34,34,38,38,38,44,48,50,50,50,51,53,53,55,55,55,55,57,76,76,78,78,78,78,78,82,83,83,83,83,85,85,85,86,86,86,88,89,89,89,90,93,93,96,96,96,96,96,97,97,100,102,102,102,103,103,103,108,110,112,112
Nebraska,US,1967923,40.808075,-96.699654,258,273,299,313,339,356,434,473,493,503,533,553,561,575,609,629,647,677,689,738,749,889,968,1137,1298,1507,1658,1739,1902,2086,2159,2190,2261,2372,2431,2768,3113,3430,3752,4002,4002,4670,5086,5454,5857,6300,6795,7338,7736,8158,8517,8928,9340,9764,10358,10766,11272,11667,11929,12398,12883,13354,13918,14333,14843,15294,15819,16357,16979,17882,18200,18553,18875,19290,19721,20030,20614,20951,21169,21478,21971,22506,23305,23582,23968,24156,24510,25390,26437,27373,28139,28904,29808,30823,31753,32830,33720,34723,35638,36491,37471,38623,39965,41111,42141,43887,45396
Nevada,US,3177772,39.163914,-119.766121,1059,1106,1114,1168,1228,1272,1336,1355,1436,1464,1522,1557,1596,1614,1662,1680,1696,1721,1744,1781,1803,1831,1862,1888,1910,1939,1951,1968,1968,1968,2023,2049,2063,2100,2119,2119,2119,2162,2178,2197,2219,2241,2241,2241,2270,2285,2297,2322,2338,2338,2338,2366,2402,2432,2515,2550,2550,2550,2598,2693,2769,2815,3037,3078,3115,3179,3179,3335,3534,3612,3648,3669,3755,4003,4159,4367,4555,4555,4555,4930,5220,5441,5586,5959,5959,6312,6359,6592,6839,7042,7373,7373,7373,8159,8411,8827,9156,9344,9619,9619,9856,10279,10711,10881,11157,11329,11329
New Hampshire,US,1395231,43.206898,-71.537994,12,12,12,17,17,17,17,17,17,17,17,17,19,19,19,19,19,20,20,20,20,20,20,20,23,23,23,23,23,23,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25,25,25,25,28,28,28,29,29,29,31,31,31,31,31,31,38,38,38,38,48,48,48,48,48,48,48,48,52,52,52,63,63,63,63,63,63,63,63,63,63,63,63,63,63,80,80,80,120,120,120,120,136,136,136,136,136,136,136
New Jersey,US,9261699,40.220596,-74.769913,61685,64957,67384,72597,78424,79479,84970,89672,94122,100459,106794,116683,125960,135430,142587,149911,153833,158593,166647,177604,189476,200892,206555,211080,223638,238617,254963,266940,277149,283952,378257,396737,413916,429965,445123,459436,469141,477709,490005,521046,534580,551631,576779,588118,601736,627963,660469,679524,702399,727715,746018,757811,788318,817642,957692,984615,990731,1029045,1062542,1107012,1139844,1171447,1217361,1244088,1264843,1291251,1323425,1350098,1397531,1428520,1447408,1459072,1514300,1555339,1591975,1620313,1693214,1785359,1812913,1846641,1868749,1922802,1956807,2008854,2037982,2062876,2098976,2157484,2190361,2230542,2272299,2321537,2356983,2390830,2449338,2506228,2521100,2616981,2622878,2655017,2699080,2751246,2801931,2844318,2855558,2913966,2947784
New Mexico,US,2113344,35.68224,-105.939728,132,134,134,134,134,134,135,136,136,136,136,136,136,136,136,137,137,137,137,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,139,139,139,139,139,139,139
New York,US,19677151,35.78043,-78.639099,422,444,461,476,499,531,545,573,598,612,646,684,727,769,808,840,862,880,912,965,1016,1064,1074,1090,1123,1206,1322,1390,1545,1548,1587,1623,1664,1688,1716,1723,1730,1784,1817,1880,1941,2008,2027,2074,2171,2217,2263,2370,2457,2475,2508,2582,2676,2722,2802,2892,2898,2915,3000,3037,3166,3229,3308,3311,3319,3517,3663,3841,3927,4033,4081,4106,4205,4521,4643,5031,5252,5306,5355,5585,5766,5971,6173,6319,6396,6420,6684,6964,7154,7374,7622,7718,7772,7980,8154,8479,8479,9114,9161,9186,9442,9699,9931,10087,10282,10282,10338
North Carolina,US,10698973,46.82085,-100.783318,569,577,584,588,592,592,595,604,644,652,652,661,669,672,672,672,672,672,672,719,720,720,720,720,720,753,760,760,765,765,765,765,765,790,791,799,799,804,807,809,810,810,810,814,814,823,825,826,830,830,830,830,838,838,846,852,854,854,858,860,861,862,862,869,869,869,873,882,882,887,887,901,901,901,917,919,920,920,920,926,926,931,935,935,935,945,947,947,947,961,961,974,974,984,990,995,997,1005,1006,1013,1018,1018,1023,1034,1034,1034,1043
North Dakota,US,779261,42.652843,-73.757874,68,72,74,76,79,84,89,96,97,101,104,108,108,116,120,122,123,124,126,126,130,130,138,138,143,145,148,151,156,156,159,159,165,165,165,167,167,175,179,185,187,192,196,200,200,204,208,211,215,216,218,221,222,222,223,237,240,241,245,245,250,254,256,260,261,261,261,266,270,271,273,276,278,280,280,280,286,288,290,292,293,294,295,296,297,298,302,302,305,308,309,311,312,312,313,318,321,322,324,329,331,331,333,333,337,338,341
Ohio,US,11756058,39.961346,-82.999069,7,7,7,7,7,7,7,7,15,20,20,20,20,20,20,20,20,20,20,20,20,33,33,33,33,33,33,33,45,45,45,45,45,45,45,45,45,45,75,75,75,75,75,93,93,93,93,93,93,115,115,115,115,115,115,118,118,118,118,118,118,118,118,118,118,207,207,207,207,207,207,207,207,207,207,270,270,279,279,301,301,304,304,304,304,304,304,304,304,304,304,312,315,315,315,315,315,315,315,315,336,336,336,336,336,336,336
Oklahoma,US,4019800,35.492207,-97.503342,56,56,58,58,61,67,67,84,84,85,85,85,95,95,142,155,155,155,155,155,155,167,193,193,237,238,239,239,240,240,266,270,294,294,294,294,301,340,354,377,377,377,377,413,419,426,479,562,568,568,570,608,629,629,629,629,654,655,722,724,730,730,730,748,748,748,772,850,902,902,913,973,1063,1100,1132,1150,1216,1363,1447,1550,1616,1694,1694,1824,1837,1860,1911,1930,1955,2010,2042,2073,2086,2128,2148,2172,2232,2254,2302,2317,2336,2390,2442,2462,2498,2538,2540
Oregon,US,4240137,44.938461,-123.030403,120,120,121,121,121,121,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,123,123,123,123,123,123,123,123,123,123,125,125,125,125,125,125,125,126,126,126,126,126,127,127,127,127,127,129,129,130,130,130,131,131,131,131,131,131,131,131,131,131,133,133,133,133,133,133,133,133,136,136,140,142,142,142,143,143,147,147,147,164,164,196,196,197,202,202,214,215,217,219,219,220,223,225,225,238,238,238,251,253,253,263,263,263
Pennsylvania,US,12972008,40.264378,-76.883598,1232,1465,1524,1524,1543,1553,1567,1567,1567,1567,1567,1595,1808,1822,1822,1865,1865,1996,1996,1996,3326,3568,3568,3629,3676,3676,3705,4575,4587,4735,4748,4794,4836,4836,4836,4836,4836,5570,5570,5570,5570,7548,7702,7710,7740,7774,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,11525,11525,11525,11525,11928,11928,11928,11928,11928,13728,13728,13728,13728,13728,13728,13728,13728,14539,14539,14539,14539,14539,15320,15320,15320,15320,15320,15320,15320,15320,15320,15320,15320,15320,15320,15320,15320,15320,15320,16540,16540,16540,16540,16540,16540,16540,16540,16540
Rhode Island,US,1093734,41.830914,-71.414963,31262,32109,33007,34055,35177,36104,36908,37832,38563,39251,40069,40793,41731,42608,43318,43998,44651,45352,46248,46961,47905,48517,49213,50091,50725,51506,52184,53074,54087,54675,55343,56117,57215,58131,59034,59851,60668,61466,61899,63280,63782,64318,64826,65249,65721,66135,66533,66869,67182,67445,67689,68698,69120,69397,69872,70232,70507,70772,71141,71418,71805,72095,72466,72784,72954,73381,73713,74067,74433,98281,98436,98564,98975,99248,99501,99937,100504,100765,100969,101447,101686,101992,102344,102906,103072,103201,103284,104058,104377,104678,105128,105255,105420,108050,108465,108829,109260,109657,109933,110202,110433,111092,111559,111811,112381,112621,112836
South Carolina,US,5282634,34.000343,-81.033211,10,10,10,10,10,10,13,13,13,13,18,18,18,18,18,22,22,22,23,23,23,23,23,23,23,23,23,29,37,38,38,38,38,38,360,363,363,369,396,402,417,417,420,472,495,522,572,607,661,699,699,773,787,787,810,859,914,914,970,976,1050,1142,1142,1145,1145,1208,1229,1261,1265,1288,1348,1348,1400,1411,1437,1452,1483,1506,1546,1546,1546,1574,1574,1606,1635,1635,1635,1640,1640,1641,1716,1716,1721,1721,1723,1728,1728,1728,1728,1728,1748,1755,1755,1755,1755,1755,1755
South Dakota,US,909824,44.367031,-100.346405,53,53,53,76,78,83,88,111,117,117,139,177,186,196,204,215,244,303,359,413,444,470,491,539,562,590,633,657,672,672,685,706,706,706,711,718,720,720,720,721,733,742,746,752,755,757,770,774,778,778,780,781,781,785,785,786,787,787,787,788,788,788,789,790,790,792,798,799,799,800,800,801,801,803,805,805,805,810,810,810,810,813,813,813,813,813,814,814,835,838,838,839,839,843,859,859,860,862,864,865,865,865,868,869,869,869,870
Tennessee,US,7051339,36.16581,-86.784241,12667,13112,13605,14125,14865,15655,16614,18014,19213,20165,21507,22504,23992,25342,26546,28148,29302,30915,33540,36115,38598,40431,42727,44946,86173,90748,95631,99358,103817,108150,112248,117361,121780,126444,131358,137296,143704,148792,156232,181931,186441,191491,196609,200569,205397,210570,215093,219327,223431,228055,232210,236154,241229,245443,249247,253343,257451,261039,264378,268251,271741,274922,278053,281114,283902,286556,289220,292085,295301,296814,299449,301794,303992,306816,309241,311431,313696,316169,318095,319954,322332,324557,326628,328327,330507,332411,333976,336330,338291,340168,342168,344133,345826,347342,349541,351419,353131,355037,356951,358828,360385,362440,364285,366063,367897,369730,371179
